"Time","Survival","Total","Event","trisk","nrisk","Censored"
0.140018999628267,1,15,9,"M0",15,11.8671452870783
2.42442390949267,0.933418693982074,NA,NA,"M3",14,15.7755678297993
4.18108222783783,0.868117797695262,NA,NA,"M6",12,18.8987349852246
4.48595867393108,0.798975672215108,NA,NA,"M9",9,21.2741015541395
6.59446682762531,0.732394366197183,NA,NA,"M12",8,22.9456558063389
7.38343953349529,0.668373879641485,NA,NA,"M15",6,28.6102297603268
7.51236290040965,0.599231754161331,NA,NA,"M18",5,NA
13.1395383766206,0.523687580025608,NA,NA,"M21",4,NA
14.67591740794,0.450704225352112,NA,NA,"M24",2,NA
25.3550977955174,0.224071702944942,NA,NA,"M27",1,NA
28.5662414905321,0.224071702944942,NA,NA,"M30",0,NA
